TIMESTAMP,WS_ms_Max,WS_ms_Min,DeltaT_Avg,RTD_2m_Avg,RTD_10m_Avg,BP_mmHg_Avg,BP_TempC_Avg,BP_Qual_Avg,Precip_Tot,AirTC_Avg,RH_Avg,SolarRad_Avg,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT
2024-07-14 11:00:00,6.349,0.0,0.767,19.38,18.61,762.4,31.9,6.879,0.0,19.13,65.69,785.8,0.0,300.0,300.0
2024-07-14 12:00:00,5.478,0.0,0.854,21.35,20.5,762.3,33.12,6.875,0.0,21.01,59.15,876.0,0.0,299.0,299.0
2024-07-14 13:00:00,5.786,0.051,0.899,22.87,21.97,762.3,33.62,6.876,0.0,22.56,53.12,921.0,0.0,300.0,300.0
2024-07-14 14:00:00,6.963,0.0,0.699,23.13,22.43,762.4,31.93,6.871,0.0,22.85,53.36,885.0,1.926,299.0,57.5
2024-07-14 15:00:00,6.912,0.0,0.803,23.49,22.69,762.5,31.54,6.875,0.0,23.16,51.22,880.0,2.011,-1.0,36.71
2024-07-14 16:00:00,7.014,0.358,0.781,23.01,22.23,762.3,31.89,6.875,0.0,22.73,50.78,777.2,2.901,361.0,30.12
2024-07-14 17:00:00,7.424,0.205,0.541,22.57,22.03,762.1,31.89,6.875,0.0,22.38,52.01,641.8,3.205,308.7,31.48
2024-07-14 18:00:00,6.195,0.0,0.277,21.57,21.29,762.0,30.2,6.872,0.0,21.53,55.46,55.81,0.0,300.0,32.93
2024-07-14 19:00:00,6.605,0.0,0.192,20.19,20.0,762.0,25.02,6.865,0.0,20.17,61.54,37.12,0.0,300.0,41.99
2024-07-14 20:00:00,5.939,0.205,0.138,18.17,18.04,762.1,24.66,6.875,0.0,18.17,69.35,103.7,2.759,315.9,33.37
2024-07-14 21:00:00,7.629,0.0,0.134,16.09,15.96,762.4,19.69,6.856,0.0,16.02,76.87,6.164,2.055,278.6,54.51
2024-07-14 22:00:00,5.683,0.0,0.098,15.51,15.42,762.8,17.02,6.863,0.0,15.43,79.55,0.038,1.621,318.7,55.01
2024-07-14 23:00:00,6.298,0.256,0.175,15.38,15.2,763.2,16.85,6.873,0.0,15.28,81.2,0.018,2.097,323.9,26.32
2024-07-15 00:00:00,5.939,0.0,0.182,15.18,15.0,763.4,17.16,6.877,0.0,15.09,81.7,0.02,1.665,321.5,46.05
2024-07-15 01:00:00,4.045,0.0,0.177,15.1,14.92,763.5,17.14,6.876,0.0,14.98,82.5,0.02,1.433,310.9,34.17
2024-07-15 02:00:00,3.328,0.0,0.159,15.08,14.92,763.4,17.03,6.878,0.0,14.98,82.5,0.021,0.841,324.8,51.93
2024-07-15 03:00:00,4.198,0.0,0.184,14.89,14.71,763.3,17.07,6.885,0.0,14.79,83.4,0.021,1.192,314.1,36.16
2024-07-15 04:00:00,4.454,0.0,0.17,14.92,14.75,763.4,16.96,6.88,0.0,14.81,82.5,0.026,1.413,293.5,35.2
2024-07-15 05:00:00,4.25,0.0,0.153,14.7,14.55,763.5,16.83,6.883,0.0,14.61,82.2,0.034,1.724,301.4,28.02
2024-07-15 06:00:00,2.714,0.0,0.164,14.6,14.44,763.6,16.61,6.884,0.0,14.5,83.0,4.495,1.216,306.8,27.8
2024-07-15 07:00:00,2.714,0.0,0.181,14.8,14.62,763.7,16.9,6.882,0.0,14.69,81.7,29.18,0.962,308.7,34.42
2024-07-15 08:00:00,,,,,,,,,,,,,,,
2024-07-15 09:00:00,,,,,,,,,,,,,,,
2024-07-15 10:00:00,,,,,,,,,,,,,,,
2024-07-15 11:00:00,2.765,0.0,0.423,16.74,16.32,764.1,18.44,6.885,0.0,16.35,78.06,515.5,1.143,318.9,75.02
2024-07-15 12:00:00,6.042,0.0,0.717,18.96,18.25,763.8,26.28,6.879,0.0,18.7,68.76,882.0,1.832,348.2,54.73
2024-07-15 13:00:00,3.584,0.0,0.728,20.77,20.05,763.5,30.79,6.884,0.0,20.67,62.42,912.0,0.934,37.37,59.31
2024-07-15 14:00:00,4.71,0.0,0.551,22.18,21.63,763.2,31.02,6.879,0.0,21.86,58.11,915.0,1.74,327.5,43.11
2024-07-15 15:00:00,4.198,0.0,0.87,23.47,22.6,762.7,31.95,6.884,0.0,23.29,54.78,870.0,1.595,332.7,37.22
2024-07-15 16:00:00,6.298,0.0,0.819,24.0,23.18,762.3,33.67,6.88,0.0,23.83,53.7,765.0,2.23,332.6,35.77
2024-07-15 17:00:00,4.762,0.0,0.504,23.81,23.3,761.7,33.86,6.879,0.0,23.71,54.93,631.2,2.239,311.9,31.32
2024-07-15 18:00:00,5.171,0.154,0.223,23.41,23.19,761.4,32.22,6.876,0.0,23.34,56.15,63.43,2.173,296.0,27.75
2024-07-15 19:00:00,3.738,0.0,0.125,22.69,22.57,761.0,27.13,6.866,0.0,22.67,58.99,38.35,1.538,316.3,49.97
2024-07-15 20:00:00,4.813,0.0,0.106,21.28,21.17,761.0,27.75,6.88,0.0,21.31,62.51,99.6,1.771,313.2,39.03
2024-07-15 21:00:00,4.506,0.051,0.056,19.55,19.49,761.1,23.37,6.871,0.0,19.53,68.35,6.909,1.571,294.9,37.71
2024-07-15 22:00:00,3.174,0.0,-0.143,18.23,18.37,761.1,20.79,6.868,0.0,18.46,72.29,0.041,0.632,282.3,49.47
2024-07-15 23:00:00,0.922,0.0,-0.002,16.11,16.12,761.1,18.45,6.869,0.0,16.14,84.2,0.042,0.23,253.6,21.77
2024-07-16 00:00:00,0.461,0.0,-0.007,15.01,15.01,761.1,16.62,6.873,0.0,14.94,88.6,0.034,0.105,271.6,12.17
2024-07-16 01:00:00,0.973,0.0,0.002,14.18,14.18,761.0,15.49,6.879,0.0,14.14,90.4,0.036,0.398,287.2,14.55
2024-07-16 02:00:00,0.512,0.0,0.058,13.55,13.49,760.7,14.77,6.882,0.0,13.52,91.2,0.028,0.263,254.1,16.51
2024-07-16 03:00:00,0.512,0.0,-0.021,13.66,13.68,760.6,15.04,6.882,0.0,13.6,90.2,0.022,0.205,303.2,33.59
2024-07-16 04:00:00,1.024,0.0,0.219,14.07,13.85,760.5,16.01,6.887,0.0,14.04,90.2,0.016,0.218,260.3,25.35
2024-07-16 05:00:00,0.768,0.0,0.193,13.87,13.67,760.6,16.65,6.882,0.0,13.89,90.7,0.022,0.356,229.9,31.27
2024-07-16 06:00:00,0.614,0.0,0.267,13.74,13.48,760.7,16.62,6.882,0.0,13.68,91.5,3.959,0.231,233.2,21.22
2024-07-16 07:00:00,1.024,0.0,0.232,13.71,13.48,760.5,16.86,6.885,0.0,13.69,92.2,29.02,0.363,246.9,27.94
2024-07-16 08:00:00,1.024,0.0,0.289,14.04,13.76,760.5,17.66,6.888,0.0,14.02,92.3,87.5,0.287,240.0,40.38
2024-07-16 09:00:00,2.099,0.205,0.396,15.4,15.01,760.4,19.92,6.888,0.0,15.22,88.2,405.5,1.097,81.5,22.67
2024-07-16 10:00:00,2.406,0.0,0.569,17.56,16.99,760.2,27.65,6.884,0.0,17.41,80.3,644.9,1.082,79.32,37.71
2024-07-16 11:00:00,2.406,0.0,0.537,20.79,20.25,759.9,33.88,6.872,0.0,20.76,69.32,774.3,1.162,69.11,27.83
2024-07-16 12:00:00,1.894,0.0,0.665,24.78,24.12,759.5,37.4,6.872,0.0,24.71,57.66,867.0,0.841,99.4,47.62
2024-07-16 13:00:00,2.509,0.0,0.615,27.76,27.15,758.9,39.41,6.873,0.0,27.72,44.99,914.0,0.828,135.7,43.79
2024-07-16 14:00:00,2.816,0.0,0.72,30.77,30.05,758.2,40.19,6.875,0.0,30.59,37.21,915.0,0.914,40.66,74.43
2024-07-16 15:00:00,2.97,0.0,0.774,31.47,30.7,757.8,42.03,6.877,0.0,31.42,34.6,867.0,1.337,66.77,33.61
2024-07-16 16:00:00,3.379,0.0,0.688,32.32,31.63,757.4,43.31,6.876,0.0,32.35,31.73,767.8,1.291,346.2,56.69
2024-07-16 17:00:00,2.509,0.0,0.331,31.26,30.93,757.0,43.61,6.875,0.0,31.28,43.92,623.9,1.043,307.9,39.77
2024-07-16 18:00:00,3.174,0.0,-0.026,31.44,31.47,756.6,42.82,6.873,0.0,31.39,42.55,63.24,1.019,318.9,50.61
2024-07-16 19:00:00,5.734,0.0,-0.033,30.46,30.49,756.4,36.27,6.864,0.0,30.51,41.81,43.12,1.67,290.5,30.64
2024-07-16 20:00:00,3.789,0.0,-0.135,28.87,29.01,756.4,35.92,6.876,0.0,29.16,43.32,116.4,0.873,326.8,53.03
2024-07-16 21:00:00,1.69,0.0,-0.831,24.34,25.17,756.6,31.21,6.862,0.0,24.54,60.61,14.96,0.675,251.7,34.62
2024-07-16 22:00:00,3.277,0.0,-0.027,25.32,25.35,757.3,27.48,6.864,0.0,25.23,51.47,0.042,0.942,17.76,64.39
2024-07-16 23:00:00,4.403,0.0,0.129,19.06,18.93,758.4,23.56,6.865,0.0,19.12,65.17,0.062,1.684,36.32,58.88
2024-07-17 00:00:00,3.738,0.0,0.201,16.22,16.02,759.7,20.27,6.864,0.0,16.29,72.97,0.046,0.743,288.1,83.1
2024-07-17 01:00:00,5.939,0.154,0.204,13.61,13.41,760.1,17.24,6.862,0.0,13.54,82.1,0.043,2.786,305.5,24.41
2024-07-17 02:00:00,4.454,0.0,0.184,14.2,14.02,759.4,15.73,6.871,0.0,14.03,83.6,0.029,1.188,284.8,46.44
2024-07-17 03:00:00,1.229,0.0,0.171,14.55,14.38,759.9,16.05,6.872,0.0,14.53,80.1,0.016,0.42,230.2,57.65
2024-07-17 04:00:00,1.894,0.0,0.145,14.66,14.52,760.3,16.5,6.874,0.0,14.56,82.5,0.018,0.813,271.2,35.37
