TIMESTAMP,WS_ms_Max,WS_ms_Min,DeltaT_Avg,RTD_2m_Avg,RTD_10m_Avg,BP_mmHg_Avg,BP_TempC_Avg,BP_Qual_Avg,Precip_Tot,AirTC_Avg,RH_Avg,SolarRad_Avg,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT
2024-07-14 11:00:00,4.99,0.0,0.81,19.56,18.74,762.4,31.69,6.88,0.0,19.46,64.46,777.05,0.0,300.5,300.5
2024-07-14 12:00:00,5.48,0.0,0.85,21.35,20.5,762.3,33.12,6.88,0.4,21.01,59.15,876.0,0.0,299.0,299.0
2024-07-14 13:00:00,5.7,0.04,0.83,22.35,21.52,762.3,33.49,6.87,0.2,22.05,55.41,908.5,0.0,300.0,300.0
2024-07-14 14:00:00,7.01,0.06,0.75,22.98,22.23,762.35,32.76,6.87,0.8,22.72,52.6,917.25,1.92,307.12,175.02
2024-07-14 15:00:00,6.62,0.0,0.75,23.18,22.44,762.5,31.68,6.87,0.4,22.9,52.38,881.5,2.32,-1.0,37.89
2024-07-14 16:00:00,6.69,0.32,0.81,23.17,22.36,762.38,31.96,6.88,0.0,22.86,51.12,820.3,2.62,241.62,33.83
2024-07-14 17:00:00,7.31,0.1,0.64,22.87,22.24,762.12,31.8,6.88,0.0,22.65,51.53,696.05,2.51,335.68,38.72
2024-07-14 18:00:00,6.32,0.01,0.4,22.09,21.7,762.02,31.17,6.87,0.0,21.97,53.59,396.75,1.28,303.0,37.92
2024-07-14 19:00:00,6.73,0.08,0.19,20.77,20.58,761.92,26.57,6.86,0.0,20.72,58.89,39.24,0.0,299.75,48.6
2024-07-14 20:00:00,6.64,0.14,0.16,18.87,18.71,762.05,24.12,6.87,0.0,18.87,66.39,99.74,1.16,310.68,47.07
2024-07-14 21:00:00,7.44,0.0,0.14,16.71,16.57,762.22,21.78,6.86,0.0,16.67,74.85,12.81,2.32,312.35,44.77
2024-07-14 22:00:00,6.98,0.0,0.11,15.7,15.6,762.65,17.79,6.86,0.0,15.63,78.38,0.75,1.73,305.32,53.6
2024-07-14 23:00:00,5.75,0.09,0.14,15.46,15.31,763.18,16.74,6.87,0.0,15.35,80.5,0.02,1.86,321.58,42.09
2024-07-15 00:00:00,4.95,0.01,0.18,15.23,15.06,763.38,17.07,6.88,0.0,15.14,81.38,0.02,1.59,317.32,45.64
2024-07-15 01:00:00,3.96,0.08,0.18,15.12,14.94,763.45,17.16,6.88,0.0,15.01,82.3,0.02,1.58,313.2,35.2
2024-07-15 02:00:00,4.98,0.0,0.16,15.06,14.9,763.42,17.06,6.88,0.0,14.96,82.7,0.02,1.62,309.5,37.77
2024-07-15 03:00:00,3.69,0.0,0.18,15.0,14.82,763.32,17.08,6.88,0.0,14.91,82.88,0.02,1.31,304.52,40.58
2024-07-15 04:00:00,3.74,0.0,0.17,14.93,14.76,763.32,17.01,6.88,0.0,14.83,82.92,0.02,1.37,306.2,40.05
2024-07-15 05:00:00,3.83,0.0,0.18,14.77,14.59,763.45,16.88,6.88,0.0,14.67,83.0,0.03,1.38,314.27,32.57
