"TIMESTAMP","WS_ms_Max","WS_ms_Min","DeltaT_Avg","RTD_2m_Avg","RTD_10m_Avg","BP_mmHg_Avg","BP_TempC_Avg","BP_Qual_Avg","Precip_Tot","AirTC_Avg","RH_Avg","SolarRad_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT"
"TIMESTAMP","","","","","","","","","","","","","","",""
"2024-07-14 10:45:00",3.635,0.0,0.855,19.74,18.88,762.4,31.48,6.88,0.0,19.79,63.23,768.3,2.005,337.1,32.4
"2024-07-14 11:00:00",6.349,0.0,0.767,19.38,18.61,762.4,31.9,6.879,0.0,19.13,65.69,785.8,2.339,338.4,46.94
"2024-07-14 12:00:00",5.478,0.0,0.854,21.35,20.5,762.3,33.12,6.875,0.0,21.01,59.15,876.0,1.585,332.1,46.8
"2024-07-14 12:15:00",5.99,0.0,0.806,21.68,20.87,762.3,33.31,6.873,0.0,21.54,57.22,895.0,1.953,329.4,44.59
"2024-07-14 12:30:00",5.274,0.0,0.866,22.14,21.27,762.3,33.49,6.874,0.0,21.74,56.87,903.0,2.098,327.2,43.63
"2024-07-14 12:45:00",5.734,0.102,0.754,22.71,21.96,762.3,33.54,6.875,0.0,22.35,54.43,915.0,1.821,317.3,37.59
"2024-07-14 13:00:00",5.786,0.051,0.899,22.87,21.97,762.3,33.62,6.876,0.0,22.56,53.12,921.0,2.191,321.6,44.46
"2024-07-14 13:15:00",6.963,0.0,0.751,22.93,22.18,762.3,33.57,6.873,0.0,22.68,52.65,930.0,2.675,329.9,38.76
"2024-07-14 13:30:00",7.578,0.256,0.804,23.03,22.23,762.3,33.13,6.872,0.0,22.81,51.58,933.0,3.113,319.2,33.97
"2024-07-14 13:45:00",6.554,0.0,0.727,22.81,22.08,762.4,32.42,6.872,0.0,22.54,52.81,921.0,2.631,310.3,41.57
"2024-07-14 14:00:00",6.963,0.0,0.699,23.13,22.43,762.4,31.93,6.871,0.0,22.85,53.36,885.0,1.926,299.0,57.5
"2024-07-14 14:15:00",6.656,0.0,0.673,23.11,22.44,762.5,31.81,6.873,0.0,22.85,52.53,874.0,2.205,311.3,36.89
"2024-07-14 14:30:00",6.349,0.0,0.785,23.15,22.37,762.5,31.74,6.875,0.0,22.87,52.88,879.0,2.437,322.4,39.85
"2024-07-14 14:45:00",6.554,0.0,0.726,22.98,22.25,762.5,31.64,6.875,0.0,22.71,52.87,893.0,2.618,305.3,38.09
"2024-07-14 15:00:00",6.912,0.0,0.803,23.49,22.69,762.5,31.54,6.875,0.0,23.16,51.22,880.0,2.011,314.6,36.71
