TIMESTAMP,VectorWindSpeed,VectorWindDirection,SpeedDirectionReliability,W_Speed,W_Reliability,W_Count,W_StandardDeviation,W_Amplitude,W_Noise,W_SNR,W_ValidCount,V_Speed,V_Reliability,V_Count,V_StandardDeviation,V_Amplitude,V_Noise,V_SNR,V_ValidCount,U_Speed,U_Reliability,U_Count,U_StandardDeviation,U_Amplitude,U_Noise,U_SNR,U_ValidCount
TIMESTAMP,m/s,°,,m/s,,,m/s,,,,,m/s,,,m/s,,,,,m/s,,,m/s,,,,
2024-07-13 16:45:00,0.9,313,9,-0.01,9,137,0.19,5084,387,23.8,135,-0.1,9,137,1.1,4573,442,20.9,131,0.9,9,137,2.8,3387,505,15.9,127
2024-07-13 17:00:00,1.3,310,9,-0.01,9,268,0.2,5055,410,23.3,265,0,9,268,2.1,4333,456,19.9,260,1.3,9,268,3,3336,527,15.5,243
2024-07-13 17:45:00,0.7,81,9,0.06,9,269,0.21,5034,411,23.1,267,-0.5,9,269,2.2,4280,441,19.9,258,-0.5,9,269,3,3598,486,16.9,258
2024-07-13 18:00:00,0.5,12,9,0.08,9,271,0.21,5048,404,23.6,268,-0.4,9,271,1.9,4316,448,20,260,0.2,9,271,3.4,3437,497,16.2,261
2024-07-13 18:15:00,0.4,46,9,0.07,9,275,0.17,4727,346,22.8,249,-0.4,9,275,2.2,3854,408,18.6,247,-0.1,9,275,2.7,3367,439,16.6,250
2024-07-13 18:30:00,0.5,152,9,0.1,9,270,0.18,5057,395,23.7,267,0.2,9,270,1.8,4063,411,19.7,259,-0.5,9,270,2.7,3510,425,17.9,268
2024-07-13 18:45:00,0.3,195,9,0.04,9,271,0.19,5099,367,24.3,269,0.2,9,271,1.7,4165,404,20.1,258,-0.1,9,271,2.5,3721,418,18.5,269
2024-07-13 19:00:00,0.4,169,9,0.07,9,271,0.21,5071,399,23.6,269,0.3,9,271,1.6,4306,396,20.8,260,-0.3,9,271,2.5,3601,447,17.7,264
2024-07-13 19:15:00,0.4,38,9,0.07,9,275,0.19,4727,348,22.6,250,-0.4,9,275,2.1,3944,410,18.7,252,0,9,275,2.3,3482,411,17.3,253
2024-07-13 19:30:00,0.9,13,9,0.09,9,271,0.17,5117,362,24.5,268,-0.8,9,271,2.7,3959,467,18.4,265,0.4,9,271,2.4,3672,485,17.3,266
2024-07-13 19:45:00,0.9,12,9,0.03,9,271,0.2,5091,390,23.8,269,-0.8,9,271,2.6,4074,459,19,269,0.4,9,271,2.5,3872,473,18,269
2024-07-13 20:00:00,0.6,20,9,0.05,9,272,0.2,5051,422,23.1,267,-0.5,9,272,2.2,4061,448,19.2,265,0.2,9,272,2.4,3826,456,18.4,269
2024-07-13 20:15:00,0.8,11,9,0.05,9,272,0.19,4676,396,21.7,248,-0.7,9,272,2.4,3838,404,18.6,250,0.4,9,272,1.9,3733,434,17.7,246
2024-07-13 20:30:00,0.7,359,9,0.07,9,270,0.18,5123,378,23.8,268,-0.5,9,270,2.4,4241,395,20.6,269,0.4,9,270,2.1,4042,464,18.9,269
2024-07-13 20:45:00,0.4,84,9,0.11,9,269,0.16,5060,386,24,264,-0.3,9,269,1,4679,388,22.5,263,-0.3,9,269,1.4,4322,462,19.7,262
2024-07-13 21:00:00,0.5,129,9,0.05,9,270,0.2,5041,430,22.6,266,0,9,270,0.8,4743,409,22,265,-0.5,9,270,1.4,4227,487,19,265
2024-07-13 21:15:00,0.4,31,9,0.05,9,272,0.21,4654,412,21,246,-0.4,9,272,1.1,4108,414,19.3,245,0,9,272,1.4,3939,422,18.5,246
2024-07-13 21:30:00,0.6,327,9,0.08,9,269,0.17,5089,396,23.6,268,-0.2,9,269,1.4,4576,416,21.5,262,0.6,9,269,1.6,4347,434,20.5,269
2024-07-13 21:45:00,0.5,323,9,0.06,9,269,0.2,5074,391,23.7,265,-0.1,9,269,1.6,4502,416,21.1,262,0.5,9,269,1.9,4113,462,19.1,268
2024-07-13 22:00:00,0.4,339,9,0.03,9,268,0.19,5079,380,23.9,267,-0.2,9,268,1.3,4540,350,22.6,259,0.3,9,268,1.9,3998,480,18.5,267
2024-07-13 22:15:00,0.5,266,9,-0.03,9,272,0.22,4651,413,20.8,251,0.4,9,272,1.1,4171,374,20.2,246,0.4,9,272,0.8,4126,404,19.8,250
2024-07-13 22:30:00,0.4,246,9,-0.12,9,269,0.2,5097,339,25.3,269,0.4,9,269,1.1,4340,383,21.5,264,0.2,9,269,0.9,4304,503,19.2,267
2024-07-13 22:45:00,0.5,255,9,-0.05,9,269,0.15,5177,256,28.1,265,0.4,9,269,1.1,4724,369,22.9,264,0.3,9,269,0.9,4415,445,20.5,268
2024-07-13 23:00:00,0.2,292,9,0.05,9,268,0.19,5149,321,25.6,266,0,9,268,1.3,4784,368,23.2,263,0.1,9,268,1.2,4351,491,19.3,263
