TIMESTAMP,W_Speed_Check_30,V_Speed_Check_30,U_Speed_Check_30,VectorWindSpeed_Check_30,STD_Reliability_30,Noise_Check_30,Echo_Check_30,Precip_Check_30,W_Reliability_30,V_Reliability_30,U_Reliability_30,W_Speed_Check_35,V_Speed_Check_35,U_Speed_Check_35,VectorWindSpeed_Check_35,STD_Reliability_35,Noise_Check_35,Echo_Check_35,Precip_Check_35,W_Reliability_35,V_Reliability_35,U_Reliability_35,W_Speed_Check_40,V_Speed_Check_40,U_Speed_Check_40,VectorWindSpeed_Check_40,STD_Reliability_40,Noise_Check_40,Echo_Check_40,Precip_Check_40,W_Reliability_40,V_Reliability_40,U_Reliability_40,W_Speed_Check_45,V_Speed_Check_45,U_Speed_Check_45,VectorWindSpeed_Check_45,STD_Reliability_45,Noise_Check_45,Echo_Check_45,Precip_Check_45,V_Reliability_45,W_Reliability_45,U_Reliability_45,W_Speed_Check_50,V_Speed_Check_50,U_Speed_Check_50,VectorWindSpeed_Check_50,STD_Reliability_50,Noise_Check_50,Echo_Check_50,Precip_Check_50,W_Reliability_50,U_Reliability_50,V_Reliability_50,W_Speed_Check_55,V_Speed_Check_55,U_Speed_Check_55,VectorWindSpeed_Check_55,STD_Reliability_55,Noise_Check_55,Echo_Check_55,Precip_Check_55,V_Reliability_55,W_Reliability_55,U_Reliability_55,W_Speed_Check_60,V_Speed_Check_60,U_Speed_Check_60,VectorWindSpeed_Check_60,STD_Reliability_60,Noise_Check_60,Echo_Check_60,Precip_Check_60,U_Reliability_60,W_Reliability_60,V_Reliability_60,W_Speed_Check_65,V_Speed_Check_65,U_Speed_Check_65,VectorWindSpeed_Check_65,STD_Reliability_65,Noise_Check_65,Echo_Check_65,Precip_Check_65,V_Reliability_65,U_Reliability_65,W_Reliability_65,W_Speed_Check_70,V_Speed_Check_70,U_Speed_Check_70,VectorWindSpeed_Check_70,STD_Reliability_70,Noise_Check_70,Echo_Check_70,Precip_Check_70,U_Reliability_70,V_Reliability_70,W_Reliability_70,W_Speed_Check_75,V_Speed_Check_75,U_Speed_Check_75,VectorWindSpeed_Check_75,STD_Reliability_75,Noise_Check_75,Echo_Check_75,Precip_Check_75,W_Reliability_75,U_Reliability_75,V_Reliability_75,W_Speed_Check_80,V_Speed_Check_80,U_Speed_Check_80,VectorWindSpeed_Check_80,STD_Reliability_80,Noise_Check_80,Echo_Check_80,Precip_Check_80,W_Reliability_80,U_Reliability_80,V_Reliability_80,W_Speed_Check_85,V_Speed_Check_85,U_Speed_Check_85,VectorWindSpeed_Check_85,STD_Reliability_85,Noise_Check_85,Echo_Check_85,Precip_Check_85,V_Reliability_85,W_Reliability_85,U_Reliability_85,W_Speed_Check_90,V_Speed_Check_90,U_Speed_Check_90,VectorWindSpeed_Check_90,STD_Reliability_90,Noise_Check_90,Echo_Check_90,Precip_Check_90,V_Reliability_90,W_Reliability_90,U_Reliability_90,W_Speed_Check_95,V_Speed_Check_95,U_Speed_Check_95,VectorWindSpeed_Check_95,STD_Reliability_95,Noise_Check_95,Echo_Check_95,Precip_Check_95,V_Reliability_95,U_Reliability_95,W_Reliability_95,W_Speed_Check_100,V_Speed_Check_100,U_Speed_Check_100,VectorWindSpeed_Check_100,STD_Reliability_100,Noise_Check_100,Echo_Check_100,Precip_Check_100,V_Reliability_100,U_Reliability_100,W_Reliability_100,W_Speed_Check_105,V_Speed_Check_105,U_Speed_Check_105,VectorWindSpeed_Check_105,STD_Reliability_105,Noise_Check_105,Echo_Check_105,Precip_Check_105,W_Reliability_105,U_Reliability_105,V_Reliability_105,W_Speed_Check_110,V_Speed_Check_110,U_Speed_Check_110,VectorWindSpeed_Check_110,STD_Reliability_110,Noise_Check_110,Echo_Check_110,Precip_Check_110,U_Reliability_110,W_Reliability_110,V_Reliability_110,W_Speed_Check_115,V_Speed_Check_115,U_Speed_Check_115,VectorWindSpeed_Check_115,STD_Reliability_115,Noise_Check_115,Echo_Check_115,Precip_Check_115,W_Reliability_115,V_Reliability_115,U_Reliability_115,W_Speed_Check_120,V_Speed_Check_120,U_Speed_Check_120,VectorWindSpeed_Check_120,STD_Reliability_120,Noise_Check_120,Echo_Check_120,Precip_Check_120,U_Reliability_120,V_Reliability_120,W_Reliability_120,W_Speed_Check_125,V_Speed_Check_125,U_Speed_Check_125,VectorWindSpeed_Check_125,STD_Reliability_125,Noise_Check_125,Echo_Check_125,Precip_Check_125,U_Reliability_125,W_Reliability_125,V_Reliability_125,W_Speed_Check_130,V_Speed_Check_130,U_Speed_Check_130,VectorWindSpeed_Check_130,STD_Reliability_130,Noise_Check_130,Echo_Check_130,Precip_Check_130,U_Reliability_130,W_Reliability_130,V_Reliability_130,W_Speed_Check_135,V_Speed_Check_135,U_Speed_Check_135,VectorWindSpeed_Check_135,STD_Reliability_135,Noise_Check_135,Echo_Check_135,Precip_Check_135,W_Reliability_135,V_Reliability_135,U_Reliability_135,W_Speed_Check_140,V_Speed_Check_140,U_Speed_Check_140,VectorWindSpeed_Check_140,STD_Reliability_140,Noise_Check_140,Echo_Check_140,Precip_Check_140,W_Reliability_140,V_Reliability_140,U_Reliability_140
2025-01-07 00:00:00,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,2,9,9,9,2,9,2,9,9,9,2,2,2,9,9,2,9,2,9,9,9,2,2,2,9,9,2,9,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,9,9,2
2025-01-07 00:15:00,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,2,9,9,9,2,9,9,9,9,9,9,9,2,9,9,2,9,2,9,9,9,2,2,2,9,9,2,9,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,9,9,2
2025-01-07 00:30:00,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,2,9,9,9,2,9,9,9,9,9,9,9,2,9,9,2,9,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,9,9,2
2025-01-07 00:45:00,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,2,9,9,2,9,2,9,9,9,2,2,2,9,9,2,9,2,9,9,9,2,2,2,9,9,2,9,2,9,9,9,2,2,2,9,9,2,9,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,9,9,2
2025-01-07 01:00:00,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,2,9,9,2,9,2,9,9,9,2,2,2,9,9,2,9,2,9,9,9,2,2,2,9,9,2,9,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,9,9,2
2025-01-07 01:15:00,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,2,9,9,9,2,9,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,9,9,2
2025-01-07 01:30:00,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,2,9,9,9,2,9,9,9,9,9,9,9,2,9,9,2,9,2,9,9,9,2,2,2,9,9,2,9,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,9,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,9,9,2
2025-01-07 01:45:00,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,2,9,9,9,2,9,2,9,9,9,2,2,2,9,9,2,9,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,2,9,9,9,2,2,2,9,9,2,2,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,9,9,2
2025-01-07 02:00:00,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,2,9,9,9,2,9,9,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,2,9,9,9,2,9,9,9,9,9,9,2,9,9,9,2,9,9,9,9,9,9,2,9,9,9,2,9,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,9,9,2
2025-01-07 02:15:00,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,2,9,9,9,2,9,9,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,2,9,9,9,2,2,9,9,9,9,9,2,9,9,9,2,2,9,9,9,9,9,2,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,9,9,2,9,9,2,2,9,9,9,9,9,9,2
