TIMESTAMP,WS_ms_S_WVT,W_Speed,Difference,Wind10m_Reliability
2025-04-01 00:00:00,0.52,0.21,0.31,9
2025-04-01 00:15:00,0.50,0.16,0.34,9
2025-04-01 00:30:00,0.69,0.21,0.48,9
2025-04-01 00:45:00,0.53,0.23,0.30,9
2025-04-01 01:00:00,0.53,0.23,0.29,9
2025-04-01 01:15:00,0.68,0.22,0.46,9
2025-04-01 01:30:00,0.78,0.19,0.59,9
2025-04-01 01:45:00,0.53,0.22,0.31,9
2025-04-01 02:00:00,0.54,0.28,0.26,9
2025-04-01 02:15:00,0.40,0.30,0.10,9
2025-04-01 02:30:00,0.20,0.20,-0.00,9
2025-04-01 02:45:00,0.09,0.17,-0.08,9
2025-04-01 03:00:00,0.11,0.20,-0.09,9
2025-04-01 03:15:00,0.43,0.14,0.29,9
2025-04-01 03:30:00,0.43,0.16,0.27,9
2025-04-01 03:45:00,0.27,0.08,0.19,9
2025-04-01 04:00:00,0.53,0.14,0.39,9
2025-04-01 04:15:00,0.54,0.00,0.54,9
2025-04-01 04:30:00,0.40,0.04,0.36,9
2025-04-01 04:45:00,0.26,0.15,0.11,9
2025-04-01 05:00:00,0.40,0.15,0.25,9
2025-04-01 05:15:00,0.54,0.12,0.42,9
2025-04-01 05:30:00,0.74,0.10,0.64,9
2025-04-01 05:45:00,0.68,0.03,0.65,9
2025-04-01 06:00:00,0.56,-0.08,0.64,9
2025-04-01 06:15:00,0.63,-0.02,0.65,9
2025-04-01 06:30:00,0.47,-0.01,0.47,9
2025-04-01 06:45:00,0.20,0.07,0.13,9
2025-04-01 07:00:00,0.57,0.01,0.56,9
2025-04-01 07:15:00,0.20,-0.01,0.21,9
2025-04-01 07:30:00,0.63,-0.02,0.65,9
2025-04-01 07:45:00,1.05,0.07,0.98,9
2025-04-01 08:00:00,0.69,0.01,0.68,9
2025-04-01 08:15:00,0.74,0.00,0.74,9
2025-04-01 08:30:00,0.68,-0.05,0.73,9
2025-04-01 08:45:00,1.34,0.08,1.26,
2025-04-01 09:00:00,0.62,0.02,0.61,9
2025-04-01 09:15:00,0.63,-0.03,0.66,9
2025-04-01 09:30:00,0.78,0.12,0.66,9
2025-04-01 09:45:00,0.73,0.01,0.72,9
2025-04-01 10:00:00,0.65,0.01,0.64,9
2025-04-01 10:15:00,0.78,0.05,0.73,9
2025-04-01 10:30:00,1.79,-0.04,1.83,
2025-04-01 10:45:00,1.61,0.02,1.59,
2025-04-01 11:00:00,1.76,0.02,1.74,
2025-04-01 11:15:00,1.81,0.00,1.81,
2025-04-01 11:30:00,1.85,-0.11,1.96,
2025-04-01 11:45:00,1.50,0.02,1.49,
2025-04-01 12:00:00,1.97,0.04,1.93,
2025-04-01 12:15:00,2.03,0.05,1.98,
2025-04-01 12:30:00,2.07,0.01,2.06,
2025-04-01 12:45:00,2.29,0.02,2.27,
2025-04-01 13:00:00,1.81,0.01,1.80,
2025-04-01 13:15:00,2.43,0.03,2.40,
2025-04-01 13:30:00,2.28,0.04,2.24,
2025-04-01 13:45:00,2.69,0.03,2.66,
2025-04-01 14:00:00,1.93,0.05,1.88,
2025-04-01 14:15:00,2.10,0.03,2.07,
2025-04-01 14:30:00,2.27,0.06,2.21,
2025-04-01 14:45:00,2.62,0.00,2.62,
2025-04-01 15:00:00,2.74,0.04,2.70,
2025-04-01 15:15:00,2.45,0.03,2.42,
2025-04-01 15:30:00,3.09,0.03,3.06,
2025-04-01 15:45:00,2.52,-0.02,2.53,
2025-04-01 16:00:00,2.13,0.01,2.12,
2025-04-01 16:15:00,2.84,0.01,2.83,
2025-04-01 16:30:00,3.13,0.02,3.11,
2025-04-01 16:45:00,3.18,0.03,3.15,
2025-04-01 17:00:00,2.69,0.07,2.62,
2025-04-01 17:15:00,3.18,0.06,3.12,
2025-04-01 17:30:00,2.61,0.07,2.54,
