"TIMESTAMP","WS_ms_Max","WS_ms_Min","DeltaT_Avg","RTD_2m_Avg","RTD_10m_Avg","BP_mmHg_Avg","BP_TempC_Avg","BP_Qual_Avg","Precip_Tot","AirTC_Avg","RH_Avg","SolarRad_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT"
"TIMESTAMP","","","","","","","","","","","","","","",""
"2025-04-01 00:00:00",1.178,0.0,-0.289,5.558,5.847,754.3,8.26,6.886,0.0,5.936,89.9,0.018,0.523,199.5,21.6
"2025-04-01 00:15:00",1.331,0.0,-0.345,5.313,5.657,754.3,8.14,6.886,0.0,5.674,92.3,0.026,0.498,232.1,21.47
"2025-04-01 00:30:00",1.28,0.0,-0.345,5.297,5.642,754.3,7.981,6.883,0.0,5.611,93.9,0.028,0.693,235.5,14.55
"2025-04-01 00:45:00",0.922,0.0,-0.326,5.348,5.674,754.4,7.909,6.884,0.0,5.61,94.3,0.021,0.534,211.6,19.84
"2025-04-01 01:00:00",1.434,0.0,-0.344,5.336,5.68,754.4,7.857,6.883,0.0,5.576,94.6,0.02,0.525,205.6,28.46
"2025-04-01 01:15:00",2.765,0.0,-0.276,5.56,5.836,754.5,7.862,6.883,0.0,5.734,93.8,0.018,0.676,170.6,33.85
"2025-04-01 01:30:00",1.997,0.0,-0.2,5.718,5.918,754.6,7.993,6.883,0.0,5.955,91.4,0.018,0.779,145.4,24.17
"2025-04-01 01:45:00",1.69,0.0,-0.206,5.649,5.856,754.6,8.14,6.887,0.0,5.917,91.0,0.018,0.529,163.9,32.78
"2025-04-01 02:00:00",1.485,0.0,-0.227,5.612,5.839,754.6,8.25,6.89,0.0,5.878,91.1,0.017,0.537,195.1,13.98
"2025-04-01 02:15:00",0.717,0.0,-0.24,5.599,5.84,754.7,8.34,6.885,0.0,5.862,91.3,0.021,0.4,208.4,12.13
"2025-04-01 02:30:00",0.614,0.0,-0.228,5.628,5.857,754.8,8.44,6.885,0.0,5.891,91.8,0.021,0.198,199.4,0.208
