"TIMESTAMP","WS_ms_Max","WS_ms_Min","DeltaT_Avg","RTD_2m_Avg","RTD_10m_Avg","BP_mmHg_Avg","BP_TempC_Avg","BP_Qual_Avg","Precip_Tot","AirTC_Avg","RH_Avg","SolarRad_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT"
"TIMESTAMP","m/s","m/s","C","C","C","mmHg","C","","Total","C","%","w/m2","m/s","Deg",""
"2025-01-07 00:00:00",5.734,0.0,-0.201,5.334,5.536,773.0,6.893,6.906,0.0,5.507,93.9,0.017,1.781,118.7,35.98
"2025-01-07 01:00:00",6.144,0.0,-0.183,5.088,5.271,772.7,6.651,6.91,0.0,5.276,93.4,0.019,1.866,116.2,35.44
"2025-01-07 02:00:00",6.093,0.0,-0.167,4.799,4.966,772.7,6.409,6.913,0.0,4.994,93.6,0.018,2.001,121.4,36.06
"2025-01-07 03:00:00",5.683,0.0,-0.158,4.344,4.502,772.6,6.022,6.913,0.0,4.504,94.0,0.02,2.052,120.1,35.74
"2025-01-07 04:00:00",6.349,0.0,-0.154,3.992,4.146,772.4,5.688,6.912,0.0,4.158,94.2,0.016,1.921,108.3,36.07
"2025-01-07 05:00:00",6.042,0.0,-0.141,3.673,3.814,772.2,5.397,6.912,0.0,3.848,93.7,0.02,1.956,124.7,37.65
"2025-01-07 06:00:00",4.762,0.0,-0.14,3.28,3.419,772.2,5.082,6.914,0.0,3.421,93.4,0.026,1.511,120.5,42.12
"2025-01-07 07:00:00",3.174,0.0,-0.158,2.949,3.108,772.5,4.035,6.913,0.0,3.065,93.7,0.027,0.854,86.7,45.77
"2025-01-07 08:00:00",3.328,0.0,-0.167,2.502,2.669,772.8,3.303,6.911,0.0,2.629,95.1,2.388,0.777,115.5,64.93
"2025-01-07 09:00:00",3.789,0.0,-0.213,2.429,2.642,773.2,3.18,6.908,0.0,2.53,96.1,27.68,0.903,173.7,54.1
"2025-01-07 10:00:00",5.939,0.0,-0.104,3.29,3.394,773.2,4.275,6.908,0.0,3.415,91.8,64.71,1.496,142.7,36.07
"2025-01-07 11:00:00",5.069,0.0,-0.035,4.544,4.58,773.2,7.135,6.902,0.0,4.678,87.1,176.2,1.607,118.9,41.56
"2025-01-07 12:00:00",5.018,0.0,-0.049,5.148,5.197,772.8,8.54,6.905,0.0,5.299,85.1,106.3,1.498,102.5,37.42
"2025-01-07 13:00:00",5.222,0.0,-0.089,5.939,6.029,771.7,8.59,6.907,0.0,6.092,79.92,85.1,1.873,99.7,34.51
"2025-01-07 14:00:00",6.554,0.0,-0.085,6.533,6.619,771.1,8.98,6.904,0.0,6.716,79.82,123.4,2.262,94.1,28.93
"2025-01-07 15:00:00",4.762,0.0,-0.118,7.213,7.331,771.1,9.84,6.907,0.0,7.401,76.43,80.8,1.541,106.9,37.53
"2025-01-07 16:00:00",4.147,0.0,-0.299,7.443,7.742,770.8,9.83,6.905,0.0,7.693,72.18,33.98,1.457,117.0,43.74
"2025-01-07 17:00:00",4.659,0.0,-0.324,7.106,7.43,770.8,9.33,6.906,0.0,7.413,73.72,9.2,1.411,110.1,48.17
"2025-01-07 18:00:00",3.123,0.0,-0.834,5.599,6.433,771.1,7.678,6.906,0.0,5.953,82.4,0.072,0.797,248.9,39.69
"2025-01-07 19:00:00",4.557,0.0,-0.681,5.378,6.059,771.0,6.981,6.908,0.0,5.689,83.5,0.023,1.046,226.9,56.0
"2025-01-07 20:00:00",4.762,0.0,-0.36,6.003,6.363,770.9,7.061,6.91,0.0,6.189,79.28,0.01,1.269,138.3,47.4
"2025-01-07 21:00:00",3.994,0.0,-0.468,6.184,6.652,770.8,7.831,6.91,0.0,6.46,75.86,0.016,0.911,227.5,74.85
"2025-01-07 22:00:00",6.042,0.0,-0.372,6.446,6.818,770.5,8.13,6.911,0.0,6.666,73.69,0.013,1.181,175.3,78.87
"2025-01-07 23:00:00",4.813,0.0,-0.319,6.654,6.973,770.9,8.74,6.91,0.0,6.92,72.12,0.014,0.923,210.8,83.3
"2025-01-08 00:00:00",5.325,0.0,-0.187,6.17,6.358,770.7,8.7,6.911,0.0,6.416,76.02,0.021,1.78,125.2,40.26
"2025-01-08 01:00:00",4.25,0.0,-0.254,6.172,6.427,770.8,8.35,6.909,0.0,6.394,76.67,0.019,1.091,44.71,75.9
"2025-01-08 02:00:00",1.485,0.0,-0.315,5.31,5.625,771.1,8.23,6.91,0.0,5.571,90.8,0.015,0.507,223.5,33.28
"2025-01-08 03:00:00",2.099,0.0,-0.256,5.343,5.6,771.6,8.25,6.911,0.008,5.577,87.6,0.017,0.646,220.8,28.47
"2025-01-08 04:00:00",3.226,0.0,-0.116,4.851,4.966,771.6,7.826,6.908,0.0,5.037,93.8,0.021,0.737,200.4,41.28
"2025-01-08 05:00:00",4.352,0.0,-0.137,4.785,4.922,771.5,7.569,6.905,0.0,4.966,93.6,0.016,0.634,199.9,46.36
"2025-01-08 06:00:00",2.662,0.0,-0.155,4.77,4.925,771.4,7.657,6.909,0.0,4.938,92.7,0.017,0.822,223.8,32.37
"2025-01-08 07:00:00",1.946,0.0,-0.232,5.013,5.245,771.8,7.783,6.905,0.0,5.188,90.2,0.013,0.618,229.3,27.79
"2025-01-08 08:00:00",1.075,0.0,-0.252,5.109,5.361,772.2,8.08,6.905,0.0,5.301,92.4,0.634,0.241,226.5,23.56
"2025-01-08 09:00:00",1.178,0.0,-0.283,4.968,5.25,772.5,8.22,6.904,0.0,5.189,93.6,24.06,0.311,237.6,16.28
"2025-01-08 10:00:00",4.045,0.0,-0.179,5.825,6.004,772.7,10.0,6.906,0.0,6.053,85.4,128.4,0.707,176.9,53.75
"2025-01-08 11:00:00",3.686,0.0,0.002,7.022,7.02,772.8,15.73,6.901,0.0,7.453,75.4,242.9,0.95,152.9,49.18
"2025-01-08 12:00:00",4.813,0.0,-0.002,8.01,8.01,772.1,19.21,6.903,0.0,8.34,73.25,309.9,1.429,127.0,35.43
"2025-01-08 13:00:00",5.018,0.0,-0.105,8.92,9.02,771.5,17.8,6.892,0.0,9.18,71.92,286.9,1.691,120.4,41.79
"2025-01-08 14:00:00",4.659,0.0,-0.269,9.88,10.15,771.3,15.93,6.89,0.0,10.18,69.04,150.4,1.341,137.2,45.55
"2025-01-08 15:00:00",3.584,0.0,-0.368,10.02,10.39,771.1,15.01,6.892,0.0,10.47,71.95,62.88,0.827,174.1,57.09
"2025-01-08 16:00:00",1.28,0.0,-0.821,7.49,8.31,771.5,12.23,6.89,0.0,7.907,88.7,22.42,0.705,236.0,11.59
"2025-01-08 17:00:00",1.229,0.0,-0.916,6.508,7.424,771.6,9.28,6.891,0.0,6.774,92.2,7.873,0.685,229.9,13.23
"2025-01-08 18:00:00",0.87,0.0,-0.968,5.929,6.897,771.9,7.714,6.892,0.0,6.123,94.0,0.104,0.304,220.1,9.42
"2025-01-08 19:00:00",1.126,0.0,-1.0,5.467,6.467,772.1,7.275,6.894,0.0,5.708,95.8,0.025,0.448,228.8,9.07
"2025-01-08 20:00:00",1.178,0.0,-1.315,5.131,6.447,772.1,6.461,6.895,0.0,5.404,97.4,0.026,0.789,235.1,7.094
