"TIMESTAMP","WS_ms_S_WVT","WS_ms_VM_WVT","WindDir_RD1_WVT","WindDir_SD1_WVT"
"TIMESTAMP","m/s","m/s","",""
"2025-01-07 00:00:00",1.921,1.66,117.5,29.74
"2025-01-07 00:15:00",1.498,1.276,115.9,31.21
"2025-01-07 00:30:00",1.834,1.597,113.3,29.04
"2025-01-07 00:45:00",2.141,1.876,125.2,28.38
"2025-01-07 01:00:00",1.991,1.757,127.3,27.78
"2025-01-07 01:15:00",2.485,2.243,130.1,25.28
"2025-01-07 01:30:00",1.829,1.592,126.3,29.08
"2025-01-07 01:45:00",2.07,1.803,127.6,28.92
"2025-01-07 02:00:00",1.621,1.365,120.3,32.21
"2025-01-07 02:15:00",2.063,1.797,132.0,29.07
"2025-01-07 02:30:00",2.187,1.97,128.7,25.47
"2025-01-07 02:45:00",1.816,1.541,117.2,31.46
"2025-01-07 03:00:00",2.144,1.836,117.5,30.61
"2025-01-07 03:15:00",1.841,1.54,103.7,32.58
"2025-01-07 03:30:00",1.681,1.5,100.1,26.46
"2025-01-07 03:45:00",1.991,1.714,116.3,30.14
"2025-01-07 04:00:00",2.17,1.791,121.9,33.87
"2025-01-07 04:15:00",1.489,1.212,118.8,34.64
"2025-01-07 04:30:00",1.937,1.64,120.4,31.63
"2025-01-07 04:45:00",2.208,1.938,130.7,28.28
"2025-01-07 05:00:00",2.188,1.994,140.7,24.05
"2025-01-07 05:15:00",1.769,1.44,123.0,34.91
"2025-01-07 05:30:00",1.436,1.214,134.8,31.49
"2025-01-07 05:45:00",1.614,1.344,119.1,33.06
"2025-01-07 06:00:00",1.223,0.974,118.9,35.55
"2025-01-07 06:15:00",1.1,0.795,127.1,40.72
"2025-01-07 06:30:00",0.697,0.526,72.09,37.12
"2025-01-07 06:45:00",0.948,0.898,67.0,17.44
"2025-01-07 07:00:00",0.673,0.572,97.8,30.19
"2025-01-07 07:15:00",1.116,0.977,101.8,28.48
"2025-01-07 07:30:00",0.82,0.652,112.3,34.35
"2025-01-07 07:45:00",0.534,0.342,148.0,44.19
"2025-01-07 08:00:00",0.636,0.097,214.6,73.15
"2025-01-07 08:15:00",0.63,0.379,195.3,47.06
"2025-01-07 08:30:00",0.54,0.26,209.7,49.33
"2025-01-07 08:45:00",1.078,0.916,144.0,29.94
"2025-01-07 09:00:00",1.365,1.241,145.5,23.99
"2025-01-07 09:15:00",1.159,0.992,139.5,29.98
"2025-01-07 09:30:00",1.283,1.089,135.3,31.32
"2025-01-07 09:45:00",1.806,1.596,150.4,27.49
"2025-01-07 10:00:00",1.736,1.556,141.5,26.01
"2025-01-07 10:15:00",1.583,1.28,141.2,35.27
"2025-01-07 10:30:00",1.74,1.515,130.1,28.6
"2025-01-07 10:45:00",1.497,1.2,118.5,35.83
"2025-01-07 11:00:00",1.607,1.364,99.2,31.53
"2025-01-07 11:15:00",1.789,1.53,106.3,30.69
"2025-01-07 11:30:00",1.493,1.209,117.7,35.22
"2025-01-07 11:45:00",1.374,1.183,100.0,30.1
"2025-01-07 12:00:00",1.337,1.135,94.4,31.49
"2025-01-07 12:15:00",1.461,1.253,101.4,30.45
"2025-01-07 12:30:00",1.62,1.361,114.3,32.32
"2025-01-07 12:45:00",2.025,1.703,100.7,32.3
"2025-01-07 13:00:00",2.384,2.263,85.7,18.19
"2025-01-07 13:15:00",3.171,3.06,86.6,15.18
"2025-01-07 13:30:00",2.175,1.993,92.4,23.37
"2025-01-07 13:45:00",1.869,1.665,98.1,26.66
"2025-01-07 14:00:00",1.832,1.617,92.4,27.53
"2025-01-07 14:15:00",1.491,1.236,104.9,33.39
"2025-01-07 14:30:00",1.101,0.93,128.7,31.3
"2025-01-07 14:45:00",1.667,1.364,102.8,34.56
"2025-01-07 15:00:00",1.906,1.719,90.0,25.4
"2025-01-07 15:15:00",1.54,1.269,115.8,33.8
"2025-01-07 15:30:00",1.383,1.093,128.5,36.75
"2025-01-07 15:45:00",1.369,1.095,117.0,36.18
"2025-01-07 16:00:00",1.537,1.283,96.4,32.86
"2025-01-07 16:15:00",1.674,1.472,93.4,28.15
"2025-01-07 16:30:00",1.706,1.503,94.3,27.9
"2025-01-07 16:45:00",1.119,0.889,134.6,36.27
"2025-01-07 17:00:00",1.144,0.776,132.9,44.91
"2025-01-07 17:15:00",0.596,0.484,265.2,31.47
"2025-01-07 17:30:00",0.976,0.891,256.9,23.48
