TIMESTAMP,VectorWindSpeed,VectorWindDirection,SpeedDirectionReliability,W_Speed,W_Reliability,W_Count,W_StandardDeviation,W_Amplitude,W_Noise,W_SNR,W_ValidCount,V_Speed,V_Reliability,V_Count,V_StandardDeviation,V_Amplitude,V_Noise,V_SNR,V_ValidCount,U_Speed,U_Reliability,U_Count,U_StandardDeviation,U_Amplitude,U_Noise,U_SNR,U_ValidCount
TIMESTAMP,m/s,°,,m/s,,,m/s,,,,,m/s,,,m/s,,,,,m/s,,,m/s,,,,
2025-01-07 00:00:00,0.1,72,9,0.03,9,273,0.2,3466,445,17.7,270,-0.1,9,273,0.9,2379,376,15.9,268,-0.1,9,273,1.1,3218,531,15.7,267
2025-01-07 00:30:00,0.6,97,9,0.04,9,273,0.19,3446,447,17.6,271,-0.3,9,273,1,2470,391,15.9,271,-0.5,9,273,1.8,3146,602,14.6,268
2025-01-07 00:45:00,0.3,66,9,0.03,9,273,0.19,3488,433,17.9,271,-0.2,9,273,0.9,2307,369,15.9,268,-0.1,9,273,1,3074,506,15.7,268
2025-01-07 01:00:00,0.2,70,9,0.04,9,274,0.19,3414,423,17.9,274,-0.2,9,274,1,2288,372,15.6,271,-0.1,9,274,0.7,3128,468,16.4,269
2025-01-07 01:15:00,0.4,73,9,0.04,9,275,0.24,3118,421,16.3,253,-0.4,9,275,1.1,2191,381,14.5,250,-0.3,9,275,1.5,2827,501,14.4,250
2025-01-07 01:45:00,0.3,115,9,0.03,9,273,0.18,3480,451,17.6,270,-0.1,9,273,1,2392,394,15.5,268,-0.3,9,273,1.4,3086,555,15.1,268
2025-01-07 02:00:00,0.3,90,9,0.06,9,274,0.18,3486,436,17.8,271,-0.2,9,274,1,2373,378,15.8,271,-0.2,9,274,1.2,3080,493,16,269
2025-01-07 02:15:00,0.2,24,9,0.02,9,274,0.21,3199,404,16.9,255,-0.2,9,274,0.8,2202,352,15.1,250,0.1,9,274,0.7,2818,459,15,250
2025-01-07 02:45:00,1.1,112,9,0.02,9,273,0.22,3516,476,17.3,271,-0.3,9,273,1.4,2511,437,15.1,270,-1,9,273,3.4,3004,642,13.5,268
2025-01-07 03:00:00,1.4,121,9,0.02,9,272,0.24,3425,502,16.6,267,-0.2,9,272,1.3,2702,454,15.4,269,-1.4,9,272,3.6,3052,711,12.9,268
2025-01-07 03:15:00,1,110,9,-0.02,9,275,0.23,3345,458,16.4,251,-0.3,9,275,1.3,2356,404,14.6,251,-0.9,9,275,3.2,2839,617,12.9,250
2025-01-07 03:30:00,0.8,100,9,-0.02,9,273,0.2,3551,473,17.3,270,-0.4,9,273,1.1,2682,424,16,270,-0.7,9,273,2.6,3099,639,14,268
2025-01-07 03:45:00,3.2,120,9,0,9,272,0.26,3851,558,16.9,271,-0.4,9,272,1.5,3150,517,15.7,270,-3.2,9,272,5,3277,815,12.4,271
2025-01-07 04:45:00,3.4,127,9,-0.03,9,273,0.32,3917,605,16.3,270,-0.1,9,273,1.7,3529,580,15.7,271,-3.4,9,273,4.5,3500,899,12.1,273
2025-01-07 05:00:00,3.1,131,9,0.01,9,273,0.3,3942,625,16.1,271,0.2,9,273,1.8,3499,615,15.1,272,-3.1,9,273,3.8,3716,889,12.8,273
2025-01-07 05:15:00,4.4,131,9,0.01,9,274,0.39,4086,680,14.9,254,0.2,9,274,1.9,3846,654,14.7,253,-4.4,9,274,4.1,3793,953,11.6,255
2025-01-07 05:30:00,2.8,127,9,0.02,9,273,0.29,4013,600,16.6,271,-0.1,9,273,1.4,3380,561,15.6,270,-2.8,9,273,3.7,3634,818,13.3,273
2025-01-07 05:45:00,3.3,126,9,0.04,9,272,0.33,4127,658,16,270,-0.1,9,272,1.4,3858,635,15.7,269,-3.2,9,272,3.5,3822,888,13,272
2025-01-07 06:00:00,2.7,125,9,0.06,9,273,0.25,4054,594,16.7,268,-0.2,9,273,1.4,3665,563,16.3,272,-2.7,9,273,3.2,3666,801,13.4,273
2025-01-07 06:15:00,1,121,9,0.02,9,274,0.23,3439,478,16.2,254,-0.1,9,274,1.1,2851,450,15.1,254,-1,9,274,2,3205,582,14.6,250
2025-01-07 06:30:00,0.7,104,9,0.01,9,273,0.19,3514,443,17.8,268,-0.3,9,273,1,2707,414,16.1,272,-0.7,9,273,1.2,3410,476,17.3,268
2025-01-07 06:45:00,1,85,9,0.04,9,272,0.21,3769,441,18.5,270,-0.7,9,272,1,2969,427,16.5,272,-0.8,9,272,1.2,3440,502,17,267
2025-01-07 07:00:00,0.4,96,9,0.04,9,273,0.21,3468,418,18.3,273,-0.2,9,273,1,2698,406,16.2,273,-0.4,9,273,1.1,3044,427,17.2,272
2025-01-07 07:15:00,1,101,9,0.03,9,274,0.19,3259,391,17.3,254,-0.5,9,274,0.9,2749,370,16.3,255,-0.9,9,274,1.6,3001,488,15.3,254
2025-01-07 07:30:00,1.2,101,9,0.12,9,272,0.21,3479,430,17.9,272,-0.6,9,272,1.1,2919,401,16.9,272,-1.1,9,272,1.2,3176,466,16.8,270
2025-01-07 07:45:00,0.8,98,9,0.07,9,273,0.21,3514,446,17.7,272,-0.4,9,273,0.9,2995,378,17.8,273,-0.7,9,273,1.2,3282,479,16.9,269
2025-01-07 08:00:00,0.3,66,9,0,9,272,0.15,3429,465,17.2,272,-0.3,9,272,0.8,2658,371,16.9,270,-0.1,9,272,1,3100,478,16.3,267
2025-01-07 08:15:00,0.1,83,9,0.03,9,275,0.23,3080,417,16.3,255,-0.1,9,275,0.8,2721,352,16.8,255,-0.1,9,275,0.8,3194,400,17.2,249
2025-01-07 08:30:00,0.2,42,9,0.03,9,271,0.17,3462,419,18.1,271,-0.2,9,271,0.6,2699,337,17.8,270,0,9,271,0.8,3251,421,17.8,268
2025-01-07 08:45:00,1.6,122,9,0.01,9,271,0.19,3910,457,18.5,270,-0.2,9,271,0.9,3345,414,18,271,-1.6,9,271,2.5,3456,584,16.1,271
2025-01-07 09:00:00,2.4,124,9,0.08,9,272,0.27,4137,518,17.9,272,-0.2,9,272,1.2,3685,538,16.6,270,-2.4,9,272,2.4,3814,731,14.5,272
2025-01-07 09:15:00,0.4,112,9,0.01,9,275,0.19,3157,416,16.6,254,-0.1,9,275,0.8,2596,369,15.9,253,-0.4,9,275,1.4,3053,462,15.9,250
2025-01-07 09:30:00,0.2,333,9,0,9,272,0.19,3170,387,18.1,271,-0.1,9,272,0.8,2415,376,15.9,268,0.2,9,272,1,2967,416,17.3,267
2025-01-07 09:45:00,2.6,127,9,-0.01,9,272,0.29,3908,618,16.2,267,0,9,272,1.9,3463,638,14.8,271,-2.6,9,272,3.9,3684,818,13.5,271
2025-01-07 10:00:00,2.4,126,9,0,9,273,0.28,3918,555,17.1,268,-0.1,9,273,1.5,3342,547,15.6,268,-2.4,9,273,3.6,3435,800,13.1,273
2025-01-07 10:15:00,2.7,130,9,0,9,275,0.3,3904,587,15.8,253,0.1,9,275,1.9,3499,570,14.9,255,-2.7,9,275,3.4,3576,794,12.9,255
2025-01-07 10:30:00,3.7,127,9,0.07,9,272,0.37,4158,647,16.3,271,-0.1,9,272,1.7,3960,643,15.7,270,-3.7,9,272,3.8,3896,887,13.1,272
