"TIMESTAMP","STATION","WS_ms_10m_S_WVT","WD_10m_D1_WVT","WD_10m_SD1_WVT","WS_ms_20m_S_WVT","WD_20m_D1_WVT","WD_20m_SD1_WVT","SIN_WD10_Avg","COS_WD10_Avg","SIN_WD20_Avg","COS_WD20_Avg","Max15Gust_10","GustTime_10","Max15Gust_20","GustTime_20","Temp_C_3m_Avg","Temp_C_15m_Avg","DeltaT_Avg","AmbT_C_Avg","RH_Avg","SR_wm2_Avg","Precip_in_Tot","BP_mmHg","PTemp","BV_Avg"
"TIMESTAMP","","m/s","","","m/s","","","","","","","m/s","","m/s","","C","C","C","C","","","","","C",""
"2024-06-30 00:00:00","RIGI",3.407,98.0,14.96,3.836,97.8,13.82,0.956,-0.135,0.962,-0.132,4.949,235036.0,5.598,235553.0,9.56,9.64,0.084,10.5,95.6,0.0,0.0,533.7,14.13,13.04
"2024-06-30 00:15:00","RIGI",3.718,84.0,15.66,4.345,86.7,13.36,0.954,0.101,0.968,0.057,6.417,110.0,6.519,110.0,9.33,9.33,-0.006,10.11,97.8,0.0,0.0,533.5,14.07,13.04
"2024-06-30 00:30:00","RIGI",1.851,26.06,30.16,1.916,42.73,30.47,0.328,0.668,0.465,0.555,4.847,1519.0,5.018,1519.0,9.41,9.39,-0.014,10.09,98.7,0.0,0.0,533.4,14.03,13.05
"2024-06-30 00:45:00","RIGI",1.681,270.2,51.86,1.793,272.3,48.04,-0.358,0.01,-0.221,-0.002,6.007,4156.0,6.417,4150.0,9.98,9.95,-0.036,10.38,99.1,0.0,0.0,533.4,14.01,13.05
"2024-06-30 01:00:00","RIGI",3.185,163.1,19.89,3.658,166.7,17.32,0.26,-0.869,0.215,-0.912,7.646,5959.0,7.339,5959.0,10.17,10.23,0.068,10.75,98.2,0.0,0.0,533.4,14.06,13.05
"2024-06-30 01:15:00","RIGI",5.077,152.9,10.39,5.553,154.1,8.84,0.448,-0.876,0.432,-0.889,7.646,10000.0,7.817,10124.0,10.11,10.07,-0.034,10.77,98.9,0.0,0.0,533.4,14.14,13.04
"2024-06-30 01:30:00","RIGI",3.991,151.6,10.66,4.426,154.7,8.6,0.466,-0.862,0.421,-0.893,6.588,11901.0,6.793,11855.0,10.07,9.99,-0.074,10.72,99.6,0.002,0.0,533.5,14.26,13.04
"2024-06-30 01:45:00","RIGI",3.353,155.9,11.34,3.755,158.1,9.6,0.401,-0.894,0.368,-0.913,5.427,13343.0,5.632,13544.0,10.09,10.01,-0.082,10.7,99.9,0.0,0.0,533.4,14.38,13.04
"2024-06-30 02:00:00","RIGI",3.507,156.6,12.84,3.905,158.3,11.79,0.387,-0.892,0.361,-0.907,5.427,15139.0,6.178,15138.0,10.21,10.13,-0.08,10.82,100.0,0.0,0.0,533.3,14.5,13.04
"2024-06-30 02:15:00","RIGI",4.241,171.2,9.0,4.582,174.3,7.612,0.149,-0.966,0.098,-0.976,6.588,21122.0,6.724,20743.0,10.28,10.2,-0.083,10.87,100.0,0.0,0.0,533.4,14.61,13.04
"2024-06-30 02:30:00","RIGI",4.328,177.2,10.09,4.831,179.3,9.05,0.047,-0.982,0.012,-0.986,6.485,21559.0,7.1,21514.0,10.33,10.25,-0.079,10.88,100.0,0.003,0.0,533.4,14.67,13.04
