TIMESTAMP,VectorWindSpeed,VectorWindDirection,SpeedDirectionReliability,W_Speed,W_Reliability,W_Count,W_StandardDeviation,W_Amplitude,W_Noise,W_SNR,W_ValidCount,V_Speed,V_Reliability,V_Count,V_StandardDeviation,V_Amplitude,V_Noise,V_SNR,V_ValidCount,U_Speed,U_Reliability,U_Count,U_StandardDeviation,U_Amplitude,U_Noise,U_SNR,U_ValidCount
2024-07-13 16:45:00,0.9,313,9.0,-0.01,9.0,137.0,0.19,5084.0,387.0,23.8,135.0,-0.1,9.0,137.0,1.1,4573.0,442.0,20.9,131.0,0.9,9.0,137.0,2.8,3387.0,505.0,15.9,127.0
2024-07-13 17:00:00,1.3,310,9.0,-0.01,9.0,268.0,0.2,5055.0,410.0,23.3,265.0,0,9.0,268.0,2.1,4333.0,456.0,19.9,260.0,1.3,9.0,268.0,3,3336.0,527.0,15.5,243.0
2024-07-13 17:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-13 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-13 17:45:00,0.7,81,9.0,0.06,9.0,269.0,0.21,5034.0,411.0,23.1,267.0,-0.5,9.0,269.0,2.2,4280.0,441.0,19.9,258.0,-0.5,9.0,269.0,3,3598.0,486.0,16.9,258.0
2024-07-13 18:00:00,0.5,12,9.0,0.08,9.0,271.0,0.21,5048.0,404.0,23.6,268.0,-0.4,9.0,271.0,1.9,4316.0,448.0,20.0,260.0,0.2,9.0,271.0,3.4,3437.0,497.0,16.2,261.0
2024-07-13 18:15:00,0.4,46,9.0,0.07,9.0,275.0,0.17,4727.0,346.0,22.8,249.0,-0.4,9.0,275.0,2.2,3854.0,408.0,18.6,247.0,-0.1,9.0,275.0,2.7,3367.0,439.0,16.6,250.0
2024-07-13 18:30:00,0.5,152,9.0,0.1,9.0,270.0,0.18,5057.0,395.0,23.7,267.0,0.2,9.0,270.0,1.8,4063.0,411.0,19.7,259.0,-0.5,9.0,270.0,2.7,3510.0,425.0,17.9,268.0
2024-07-13 18:45:00,0.3,195,9.0,0.04,9.0,271.0,0.19,5099.0,367.0,24.3,269.0,0.2,9.0,271.0,1.7,4165.0,404.0,20.1,258.0,-0.1,9.0,271.0,2.5,3721.0,418.0,18.5,269.0
2024-07-13 19:00:00,0.4,169,9.0,0.07,9.0,271.0,0.21,5071.0,399.0,23.6,269.0,0.3,9.0,271.0,1.6,4306.0,396.0,20.8,260.0,-0.3,9.0,271.0,2.5,3601.0,447.0,17.7,264.0
2024-07-13 19:15:00,0.4,38,9.0,0.07,9.0,275.0,0.19,4727.0,348.0,22.6,250.0,-0.4,9.0,275.0,2.1,3944.0,410.0,18.7,252.0,0,9.0,275.0,2.3,3482.0,411.0,17.3,253.0
2024-07-13 19:30:00,0.9,13,9.0,0.09,9.0,271.0,0.17,5117.0,362.0,24.5,268.0,-0.8,9.0,271.0,2.7,3959.0,467.0,18.4,265.0,0.4,9.0,271.0,2.4,3672.0,485.0,17.3,266.0
2024-07-13 19:45:00,0.9,12,9.0,0.03,9.0,271.0,0.2,5091.0,390.0,23.8,269.0,-0.8,9.0,271.0,2.6,4074.0,459.0,19.0,269.0,0.4,9.0,271.0,2.5,3872.0,473.0,18.0,269.0
2024-07-13 20:00:00,0.6,20,9.0,0.05,9.0,272.0,0.2,5051.0,422.0,23.1,267.0,-0.5,9.0,272.0,2.2,4061.0,448.0,19.2,265.0,0.2,9.0,272.0,2.4,3826.0,456.0,18.4,269.0
2024-07-13 20:15:00,0.8,11,9.0,0.05,9.0,272.0,0.19,4676.0,396.0,21.7,248.0,-0.7,9.0,272.0,2.4,3838.0,404.0,18.6,250.0,0.4,9.0,272.0,1.9,3733.0,434.0,17.7,246.0
2024-07-13 20:30:00,0.7,359,9.0,0.07,9.0,270.0,0.18,5123.0,378.0,23.8,268.0,-0.5,9.0,270.0,2.4,4241.0,395.0,20.6,269.0,0.4,9.0,270.0,2.1,4042.0,464.0,18.9,269.0
2024-07-13 20:45:00,0.4,84,9.0,0.11,9.0,269.0,0.16,5060.0,386.0,24.0,264.0,-0.3,9.0,269.0,1,4679.0,388.0,22.5,263.0,-0.3,9.0,269.0,1.4,4322.0,462.0,19.7,262.0
2024-07-13 21:00:00,0.5,129,9.0,0.05,9.0,270.0,0.2,5041.0,430.0,22.6,266.0,0,9.0,270.0,0.8,4743.0,409.0,22.0,265.0,-0.5,9.0,270.0,1.4,4227.0,487.0,19.0,265.0
2024-07-13 21:15:00,0.4,31,9.0,0.05,9.0,272.0,0.21,4654.0,412.0,21.0,246.0,-0.4,9.0,272.0,1.1,4108.0,414.0,19.3,245.0,0,9.0,272.0,1.4,3939.0,422.0,18.5,246.0
2024-07-13 21:30:00,0.6,327,9.0,0.08,9.0,269.0,0.17,5089.0,396.0,23.6,268.0,-0.2,9.0,269.0,1.4,4576.0,416.0,21.5,262.0,0.6,9.0,269.0,1.6,4347.0,434.0,20.5,269.0
2024-07-13 21:45:00,0.5,323,9.0,0.06,9.0,269.0,0.2,5074.0,391.0,23.7,265.0,-0.1,9.0,269.0,1.6,4502.0,416.0,21.1,262.0,0.5,9.0,269.0,1.9,4113.0,462.0,19.1,268.0
2024-07-13 22:00:00,0.4,339,9.0,0.03,9.0,268.0,0.19,5079.0,380.0,23.9,267.0,-0.2,9.0,268.0,1.3,4540.0,350.0,22.6,259.0,0.3,9.0,268.0,1.9,3998.0,480.0,18.5,267.0
2024-07-13 22:15:00,0.5,266,9.0,-0.03,9.0,272.0,0.22,4651.0,413.0,20.8,251.0,0.4,9.0,272.0,1.1,4171.0,374.0,20.2,246.0,0.4,9.0,272.0,0.8,4126.0,404.0,19.8,250.0
2024-07-13 22:30:00,0.4,246,9.0,-0.12,9.0,269.0,0.2,5097.0,339.0,25.3,269.0,0.4,9.0,269.0,1.1,4340.0,383.0,21.5,264.0,0.2,9.0,269.0,0.9,4304.0,503.0,19.2,267.0
2024-07-13 22:45:00,0.5,255,9.0,-0.05,9.0,269.0,0.15,5177.0,256.0,28.1,265.0,0.4,9.0,269.0,1.1,4724.0,369.0,22.9,264.0,0.3,9.0,269.0,0.9,4415.0,445.0,20.5,268.0
2024-07-13 23:00:00,0.2,292,9.0,0.05,9.0,268.0,0.19,5149.0,321.0,25.6,266.0,0,9.0,268.0,1.3,4784.0,368.0,23.2,263.0,0.1,9.0,268.0,1.2,4351.0,491.0,19.3,263.0
2024-07-13 23:15:00,0.3,275,9.0,0.03,9.0,273.0,0.17,4745.0,313.0,23.8,248.0,0.2,9.0,273.0,0.9,4348.0,315.0,22.2,245.0,0.3,9.0,273.0,1.3,3993.0,406.0,19.1,247.0
2024-07-13 23:30:00,0.6,302,9.0,0.06,9.0,268.0,0.16,5169.0,287.0,26.3,265.0,0.1,9.0,268.0,0.6,4784.0,335.0,23.8,263.0,0.6,9.0,268.0,1.5,4270.0,441.0,19.9,263.0
2024-07-13 23:45:00,0.5,311,9.0,-0.01,9.0,269.0,0.16,5170.0,288.0,26.5,268.0,0,9.0,269.0,0.9,4800.0,307.0,24.5,262.0,0.5,9.0,269.0,1.3,4333.0,404.0,21.0,263.0
2024-07-14 00:00:00,0.2,265,9.0,0.04,9.0,268.0,0.15,5158.0,296.0,26.0,265.0,0.1,9.0,268.0,0.8,4782.0,317.0,24.2,262.0,0.1,9.0,268.0,1.2,4234.0,500.0,18.7,263.0
2024-07-14 00:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-14 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-14 00:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-14 01:00:00,0.3,73,9.0,0.11,9.0,268.0,0.2,5006.0,412.0,23.2,264.0,-0.3,9.0,268.0,0.8,4676.0,370.0,22.8,262.0,-0.2,9.0,268.0,1.9,4026.0,464.0,18.6,268.0
2024-07-14 01:15:00,0.4,315,9.0,0.11,9.0,271.0,0.18,4693.0,364.0,22.2,250.0,-0.1,9.0,271.0,1.1,4313.0,339.0,21.4,245.0,0.4,9.0,271.0,1.3,3881.0,394.0,18.9,246.0
2024-07-14 01:30:00,0.6,330,9.0,0.11,9.0,267.0,0.19,5030.0,408.0,23.4,262.0,-0.2,9.0,267.0,1.3,4596.0,363.0,22.6,262.0,0.5,9.0,267.0,2,3998.0,454.0,18.8,266.0
2024-07-14 01:45:00,0.6,318,9.0,0.13,9.0,269.0,0.2,5012.0,436.0,22.6,264.0,-0.1,9.0,269.0,1,4627.0,357.0,22.8,263.0,0.6,9.0,269.0,1.3,4247.0,421.0,20.1,263.0
2024-07-14 02:00:00,0.5,329,9.0,0.12,9.0,268.0,0.22,5004.0,427.0,22.8,265.0,-0.2,9.0,268.0,1,4696.0,337.0,23.6,263.0,0.5,9.0,268.0,2.1,3862.0,472.0,18.0,266.0
2024-07-14 02:15:00,0.6,318,9.0,0.08,9.0,271.0,0.19,4668.0,405.0,21.5,249.0,-0.1,9.0,271.0,1,4353.0,334.0,21.7,244.0,0.6,9.0,271.0,1.6,3734.0,416.0,18.0,244.0
2024-07-14 02:30:00,0.4,284,9.0,0.08,9.0,222.0,0.31,4881.0,539.0,20.1,221.0,0.1,9.0,222.0,1.4,4468.0,407.0,21.0,216.0,0.3,9.0,222.0,1.1,4346.0,564.0,18.3,217.0
2024-07-14 02:45:00,0.4,203,9.0,0,9.0,276.0,0.36,4796.0,654.0,17.9,276.0,0.4,9.0,276.0,1,4710.0,384.0,22.1,271.0,-0.1,9.0,276.0,1.2,4455.0,634.0,17.5,271.0
2024-07-14 03:00:00,0.5,183,9.0,0.09,9.0,276.0,0.35,4738.0,696.0,17.4,276.0,0.4,9.0,276.0,2,4201.0,450.0,19.3,272.0,-0.3,9.0,276.0,1.6,4429.0,555.0,18.7,271.0
2024-07-14 03:15:00,0.4,348,9.0,0.1,9.0,280.0,0.34,4476.0,584.0,17.7,258.0,-0.2,9.0,280.0,1.9,3902.0,471.0,17.6,257.0,0.3,9.0,280.0,1.6,4174.0,422.0,19.3,253.0
2024-07-14 03:30:00,0.4,61,9.0,0.1,9.0,276.0,0.32,4843.0,600.0,19.2,275.0,-0.4,9.0,276.0,2,4289.0,479.0,19.4,275.0,-0.2,9.0,276.0,2.3,4235.0,477.0,19.0,274.0
2024-07-14 03:45:00,0.3,284,9.0,0.1,9.0,277.0,0.31,4821.0,613.0,18.8,276.0,0.1,9.0,277.0,2.3,4094.0,497.0,18.2,272.0,0.3,9.0,277.0,1,4751.0,473.0,20.9,271.0
2024-07-14 04:00:00,0.4,297,9.0,-0.01,9.0,277.0,0.36,4726.0,665.0,17.9,277.0,0.1,9.0,277.0,2.2,4146.0,456.0,19.1,272.0,0.3,9.0,277.0,1.6,4728.0,402.0,21.9,271.0
2024-07-14 04:15:00,0.1,352,9.0,-0.01,9.0,279.0,0.33,4518.0,555.0,18.1,258.0,-0.1,9.0,279.0,2.1,4004.0,443.0,18.4,258.0,0.1,9.0,279.0,1.9,4102.0,391.0,19.6,255.0
2024-07-14 04:30:00,0.3,55,9.0,0,9.0,276.0,0.34,4823.0,620.0,18.6,275.0,-0.2,9.0,276.0,1.9,4245.0,489.0,19.0,272.0,-0.1,9.0,276.0,1.7,4335.0,417.0,20.6,267.0
2024-07-14 04:45:00,0.1,87,9.0,0,9.0,277.0,0.34,4871.0,585.0,19.4,277.0,-0.1,9.0,277.0,2.1,4043.0,496.0,18.1,271.0,-0.1,9.0,277.0,1.3,4610.0,374.0,22.2,271.0
2024-07-14 05:00:00,0.7,105,9.0,0.04,9.0,276.0,0.35,4773.0,597.0,18.9,275.0,-0.3,9.0,276.0,1.5,4287.0,437.0,20.0,268.0,-0.6,9.0,276.0,2.5,3951.0,444.0,18.7,273.0
2024-07-14 05:15:00,0.6,108,9.0,-0.04,9.0,279.0,0.32,4431.0,545.0,18.0,257.0,-0.2,9.0,279.0,1.9,3817.0,425.0,18.2,254.0,-0.6,9.0,279.0,2.4,3637.0,380.0,18.4,257.0
2024-07-14 05:30:00,0.5,139,9.0,0,9.0,276.0,0.33,4768.0,594.0,18.9,275.0,0.1,9.0,276.0,1.9,4047.0,451.0,19.0,271.0,-0.5,9.0,276.0,2.1,3970.0,408.0,19.7,273.0
