TIMESTAMP,WS,WD,Sigma,Gust,T2_Avg,T10_Avg,DeltaT_Avg,Tach2_Avg,Tach10_Avg,EETemp_Avg,RH_Avg,SR_Avg,Press_Avg,Precip_Tot,Pan_2min,EvapHr,Fill_Secs_Max,Batt_Min,NoScansH
TIMESTAMP,,,,,,,,,,,,,,,,,,,
2024-08-23 13:00:00,5.092,180.9,21.26,9.73,29.21,28.12,-1.085,178.2,151.8,28.82,42.51,1018,845.507,0,7.042276,0.02403975,0,13.01,3531
2024-08-23 14:10:00,4.697,183.9,21.77,10.55,29.49,28.47,-1.017,177.9,151.2,29.11,43.29,892,845.2355,0,7.027281,0.0149951,0,13,3600
2024-08-23 15:12:00,5.244,212.9,22.44,10.85,29.46,28.61,-0.856,177.7,151,29.22,39.72,797.7,844.6964,0,7.009164,0.01811743,0,12.98,3600
2024-08-23 16:27:00,3.964,212.3,18.79,9.11,27.6,27.19,-0.414,177.7,149.4,27.68,43.89,121.1,844.5694,0,6.994989,0.01417494,0,13.01,3600
2024-08-23 17:02:00,4.441,209.7,18.02,9.32,26.71,26.56,-0.145,178.4,150.4,26.87,42.27,29.64,843.9471,0,6.97151,0.02347851,0,13.08,3600
2024-08-23 18:11:00,4.022,226.4,15.34,9.11,26.04,25.92,-0.121,178.6,150.1,26.23,44.27,80.4,843.5609,0,6.953512,0.0179987,0,13.14,3600
2024-08-23 19:00:00,2.306,243,15.75,6.144,25.44,25.45,0.009,178.3,149,25.69,44.85,26.87,844.2888,0,6.939551,0.01396036,0,13.19,3600
2024-08-23 20:00:00,4.806,240.2,9.22,11.37,23.89,24.35,0.464,179.7,151.8,24.26,54.13,-2.332,844.7048,0.02,6.932797,0.006754398,0,13.22,3600
2024-08-23 21:00:00,6.725,228.6,12.46,13.21,23.84,24.23,0.391,180.9,155.9,24.22,39.88,-0.862,845.0769,0.01,6.916308,0.01648903,0,13.33,3600
2024-08-23 22:00:00,3.271,200.2,61.49,11.06,23.82,24.12,0.297,179.6,152,24.15,37.42,-2.348,845.4547,0,6.903423,0.01288509,0,13.3,3600
2024-08-23 23:00:00,5.435,145.6,18.31,11.16,19.99,20,0.012,180.5,155.4,20.37,65.44,-1.328,847.1791,0,6.870042,0.03338099,0,13.33,3600
2024-08-24 00:00:00,6.513,165.7,13.02,12.29,19.48,19.48,-0.003,181.6,157.8,19.76,65.1,-0.716,847.7131,0,6.846504,0.02353764,0,13.4,3600
2024-08-24 01:00:00,6.652,169.4,12.42,15.16,18.82,18.84,0.023,182,158.2,19.14,67.23,-2.737,847.4901,0,6.836181,0.01032352,0,13.4,3600
2024-08-24 02:00:00,3.025,183.3,34.67,11.06,17.23,17.16,-0.072,180.6,153,17.56,75.26,-1.517,846.7479,0,6.832427,0.003753662,0,13.46,3600
2024-08-24 03:00:00,1.613,126.1,32.11,3.891,16.8,16.92,0.113,180.6,151.9,16.98,79.44,-1.034,846.4955,0,6.832399,2.813339e-05,0,13.49,3600
2024-08-24 04:00:00,3.361,177,8.38,5.222,17.26,17.32,0.058,181.1,151.7,17.51,74.61,-1.298,846.3709,0,6.832064,0.0003347397,0,13.51,3600
2024-08-24 05:00:00,3.746,155.3,14.56,8.91,18.69,18.93,0.249,181.1,152.8,18.98,62.24,-1.742,846.3035,0,6.828005,0.004058838,0,13.51,3600
2024-08-24 06:00:00,2.836,184.3,26.22,9.22,18.92,19.25,0.328,180.6,151.4,19.26,60.63,-0.674,846.3137,0,6.827278,0.0007276535,0,13.48,3600
2024-08-24 07:00:00,1.766,167.8,27.66,3.072,17.4,18.16,0.757,180.5,151.3,17.72,68.89,36.54,846.7223,0,6.82691,0.0003676414,0,13.48,3600
2024-08-24 08:00:00,1.131,131.1,23.66,3.789,18.84,18.93,0.088,180.3,151.9,18.99,68.69,247.4,847.1935,0,6.82617,0.0007400513,0,13.43,3600
2024-08-24 09:00:00,1.526,33.77,23.84,4.608,20.16,19.37,-0.783,179.3,151.7,20.27,70.13,386.9,847.4371,0,6.826274,-0.0001039505,0,13.35,3600
